UNI_NUM,BNS_NUM,BNS_SYM,OG_NUM,OG_SYM
1,1.1,P1,1.1.1,P1
2,1.2,P11',1.2.2,P11'
3,1.3,P_S1,1.3.3,P_2s1
4,2.4,P-1,2.1.4,P-1
5,2.5,P-11',2.2.5,P-11'
6,2.6,P-1',2.3.6,P-1'
7,2.7,P_S-1,2.4.7,P_2s-1
8,3.1,P2,3.1.8,P2
9,3.2,P21',3.2.9,P21'
10,3.3,P2',3.3.10,P2'
11,3.4,P_a2,3.4.11,P_2a2
12,3.5,P_b2,3.5.12,P_2b2
13,3.6,P_C2,5.5.23,C_P2
14,4.7,P2_1,4.1.15,P2_1
15,4.8,P2_11',4.2.16,P2_11'
16,4.9,P2_1',4.3.17,P2_1'
17,4.10,P_a2_1,4.4.18,P_2a2_1
18,4.11,P_b2_1,3.7.14,P_2b2'
19,4.12,P_C2_1,5.6.24,C_P2'
20,5.13,C2,5.1.19,C2
21,5.14,C21',5.2.20,C21'
22,5.15,C2',5.3.21,C2'
23,5.16,C_c2,5.4.22,C_2c2
24,5.17,C_a2,3.6.13,P_C2
25,6.18,Pm,6.1.25,Pm
26,6.19,Pm1',6.2.26,Pm1'
27,6.20,Pm',6.3.27,Pm'
28,6.21,P_am,6.4.28,P_2am
29,6.22,P_bm,6.5.29,P_2bm
30,6.23,P_Cm,8.5.42,C_Pm
31,7.24,Pc,7.1.32,Pc
32,7.25,Pc1',7.2.33,Pc1'
33,7.26,Pc',7.3.34,Pc'
34,7.27,P_ac,7.4.35,P_2ac
35,7.28,P_cc,6.7.31,P_2cm'
36,7.29,P_bc,7.5.36,P_2bc
37,7.30,P_Cc,9.4.48,C_Pc
38,7.31,P_Ac,8.7.44,C_Pm'
39,8.32,Cm,8.1.38,Cm
40,8.33,Cm1',8.2.39,Cm1'
41,8.34,Cm',8.3.40,Cm'
42,8.35,C_cm,8.4.41,C_2cm
43,8.36,C_am,6.6.30,P_Cm
44,9.37,Cc,9.1.45,Cc
45,9.38,Cc1',9.2.46,Cc1'
46,9.39,Cc',9.3.47,Cc'
47,9.40,C_cc,8.6.43,C_2cm'
48,9.41,C_ac,7.6.37,P_Cc
49,10.42,P2/m,10.1.49,P2/m
50,10.43,P2/m1',10.2.50,P2/m1'
51,10.44,P2'/m,10.3.51,P2'/m
52,10.45,P2/m',10.4.52,P2/m'
53,10.46,P2'/m',10.5.53,P2'/m'
54,10.47,P_a2/m,10.6.54,P_2a2/m
55,10.48,P_b2/m,10.7.55,P_2b2/m
56,10.49,P_C2/m,12.7.72,C_P2/m
57,11.50,P2_1/m,11.1.59,P2_1/m
58,11.51,P2_1/m1',11.2.60,P2_1/m1'
59,11.52,P2_1'/m,11.3.61,P2_1'/m
60,11.53,P2_1/m',11.4.62,P2_1/m'
61,11.54,P2_1'/m',11.5.63,P2_1'/m'
62,11.55,P_a2_1/m,11.6.64,P_2a2_1/m
63,11.56,P_b2_1/m,10.9.57,P_2b2'/m
64,11.57,P_C2_1/m,12.9.74,C_P2'/m
